Website,URL,Color
Cinnabon,www.cinnabon.com/,#071d49
Cinnabon,www.cinnabon.com/,#ffffff
Cinnabon,www.cinnabon.com/,#fff6e4
Cinnabon,www.cinnabon.com/,#523428
Cinnabon,www.cinnabon.com/,#009fa5
Cinnabon,www.cinnabon.com/,#b17e34
Five Guys,www.fiveguys.com,#000000
Five Guys,www.fiveguys.com,#ffffff
Five Guys,www.fiveguys.com,#f9f9f9
Krispy Kreme,www.krispykreme.com,#0b6937
Krispy Kreme,www.krispykreme.com,#ffffff
Krispy Kreme,www.krispykreme.com,#c8102e
Krispy Kreme,www.krispykreme.com,#d01f2f
Pandaexpress,www.pandaexpress.com,#54565b
Panda Express,www.pandaexpress.com,#eeeee6
Panda Express,www.pandaexpress.com,#f19933
Panda Express,www.pandaexpress.com,#c0c0c0
Panda Express,www.pandaexpress.com,#ffffff
Panda Express,www.pandaexpress.com,#d02c30
Panda Express,www.pandaexpress.com,#f8f7ee
Panda Express,www.pandaexpress.com,#68401b
Quiznos,www.quiznos.com,#5a493d
Quiznos,www.quiznos.com,#c5b591
Wingstop,www.wingstop.com,#016938
Wingstop,www.wingstop.com,#000000
Wingstop,www.wingstop.com,#ffffff
Wingstop,www.wingstop.com,#d2c87e
Wingstop,www.wingstop.com,#006938
Auntieannes,www.auntieannes.com,#0060af
Auntie Annes,www.auntieannes.com,#ffffff
Auntie Annes,www.auntieannes.com,#fdb72a
Auntie Annes,www.auntieannes.com,#051d49
Auntie Annes,www.auntieannes.com,#c0c0c0
Auntie Annes,www.auntieannes.com,#3b589e
Auntie Annes,www.auntieannes.com,#25aae1
Auntie Annes,www.auntieannes.com,#f0ab00
AOL,www.AOL.com,#3399ff
AOL,www.AOL.com,#ffffff
AOL,www.AOL.com,#333333
AOL,www.AOL.com,#000000
AOL,www.AOL.com,#e81d82
AOL,www.AOL.com,#f7f7f7
AOL,www.AOL.com,#999999
AOL,www.AOL.com,#fe7b7a
Wolfram Alpha,www.wolframalpha.com,#f7f7f7
Wolfram Alpha,www.wolframalpha.com,#ffffff
Ask,www.ask.com,#0062b2
Ask,www.ask.com,#ffffff
Ali Express,www.aliexpress.com,#e62e04
Ali Express,www.aliexpress.com,#ffffff
Ali Express,www.aliexpress.com,#fafafa
Ali Express,www.aliexpress.com,#e62e05
Ali Express,www.aliexpress.com,#000000
Ali Express,www.aliexpress.com,#fcf9f7
Ali Express,www.aliexpress.com,#e8e8e8
Ali Express,www.aliexpress.com,#ff4747
Ikea,www.ikea.com,#eeeeee
Ikea,www.ikea.com,#ffffff
Ikea,www.ikea.com,#efefef
Ikea,www.ikea.com,#666666
Ikea,www.ikea.com,#fafafa
Target,www.target.com,#333333
Target,www.target.com,#ffffff
Target,www.target.com,#cc0000
Target,www.target.com,#aa0000
Target,www.target.com,#dff2ee
MTV,www.mtv.com/,#00bbef
MTV,www.mtv.com/,#ffffff
MTV,www.mtv.com/,#f2f2f2
MTV,www.mtv.com/,#1a1a1a
MTV,www.mtv.com/,#333333
MTV,www.mtv.com/,#232323
MTV,www.mtv.com/,#434343
Mtv,www.mtv.com/,#000000
Wix,www.wix.com,#329fea
Wix,www.wix.com,#ffffff
NPR,www.npr.org,#bccae5
NPR,www.npr.org,#ffffff
NPR,www.npr.org,#6d8ac4
NPR,www.npr.org,#ebebeb
NPR,www.npr.org,#000000
NPR,www.npr.org,#333333
NPR,www.npr.org,#222222
Npr,www.npr.org,#2c63ae
Wired,www.wired.com,#c0c0c0
Wired,www.wired.com,#ffffff
Wired,www.wired.com,#000000
Wired,www.wired.com,#f6f6f6